   1.07367E+03  5.33741E+02  8.40526E-01
   1.09773E+03  5.44434E+02  8.53063E-01
   1.12194E+03  5.54638E+02  8.65601E-01
   1.14629E+03  5.64384E+02  8.78138E-01
   1.17078E+03  5.73703E+02  8.90675E-01
   1.19540E+03  5.82626E+02  9.03212E-01
   1.22014E+03  5.91185E+02  9.15750E-01
   1.24500E+03  5.99411E+02  9.28287E-01
   1.26996E+03  6.07333E+02  9.40824E-01
   1.29503E+03  6.14980E+02  9.53362E-01
   1.32020E+03  6.22379E+02  9.65899E-01
   1.34546E+03  6.29554E+02  9.78436E-01
   1.37081E+03  6.36529E+02  9.90973E-01
   1.39625E+03  6.43324E+02  1.00351E+00
   1.42177E+03  6.49959E+02  1.01605E+00
   1.44737E+03  6.56452E+02  1.02859E+00
   1.47306E+03  6.62816E+02  1.04112E+00
   1.49881E+03  6.69065E+02  1.05366E+00
   1.52465E+03  6.75211E+02  1.06620E+00
   1.55055E+03  6.81264E+02  1.07873E+00
   1.57652E+03  6.87232E+02  1.09127E+00
   1.60256E+03  6.93057E+02  1.10381E+00
   1.62867E+03  6.99283E+02  1.11635E+00
   1.65485E+03  7.05719E+02  1.12888E+00
   1.68110E+03  7.11640E+02  1.14142E+00
   1.70742E+03  7.17342E+02  1.15396E+00
   1.73379E+03  7.23012E+02  1.16650E+00
   1.76023E+03  7.28527E+02  1.17903E+00
   1.78672E+03  7.34694E+02  1.19157E+00
   1.81329E+03  7.41299E+02  1.20411E+00
   1.83992E+03  7.47147E+02  1.21664E+00
   1.86660E+03  7.52550E+02  1.22918E+00
   1.89334E+03  7.58206E+02  1.24172E+00
